,YEAR,MONTH,ORIGIN_AIRPORT_ID,count,Description,IATA,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
2313,2020,12,12264,1635,"Washington, DC: Washington Dulles International",IAD,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972
2314,2020,12,12266,3615,"Houston, TX: George Bush Intercontinental/Houston",IAH,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222
2315,2020,12,12339,1129,"Indianapolis, IN: Indianapolis International",IND,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417
2316,2020,12,12478,3068,"New York, NY: John F. Kennedy International",JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556
2317,2020,12,12889,8147,"Las Vegas, NV: McCarran International",LAS,McCarran International,Las Vegas,NV,USA,36.08036111,-115.1523333
2318,2020,12,12892,7281,"Los Angeles, CA: Los Angeles International",LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744
2319,2020,12,12953,2698,"New York, NY: LaGuardia",LGA,LaGuardia,New York,NY,USA,40.77724306,-73.87260917
2320,2020,12,13198,1286,"Kansas City, MO: Kansas City International",MCI,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556
2321,2020,12,13204,8563,"Orlando, FL: Orlando International",MCO,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778
2322,2020,12,13232,4094,"Chicago, IL: Chicago Midway International",MDW,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444
2323,2020,12,13303,3831,"Miami, FL: Miami International",MIA,Miami International,Miami,FL,USA,25.79325,-80.29055556
2324,2020,12,13487,3878,"Minneapolis, MN: Minneapolis-St Paul International",MSP,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225
2325,2020,12,13495,1727,"New Orleans, LA: Louis Armstrong New Orleans International",MSY,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778
2326,2020,12,13796,2069,"Oakland, CA: Metropolitan Oakland International",OAK,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167
2327,2020,12,13830,1479,"Kahului, HI: Kahului Airport",OGG,Kahului,Kahului,HI,USA,20.89864972,-156.4304578
2328,2020,12,13930,5700,"Chicago, IL: Chicago O'Hare International",ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417
2329,2020,12,14027,1477,"West Palm Beach/Palm Beach, FL: Palm Beach International",PBI,Palm Beach International,West Palm Beach,FL,USA,26.68316194,-80.09559417
2330,2020,12,14057,2184,"Portland, OR: Portland International",PDX,Portland Intl,Portland,OR,USA,45.58872222,-122.5975
2331,2020,12,14100,2941,"Philadelphia, PA: Philadelphia International",PHL,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083
2332,2020,12,14107,7633,"Phoenix, AZ: Phoenix Sky Harbor International",PHX,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556
2333,2020,12,14122,1135,"Pittsburgh, PA: Pittsburgh International",PIT,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083
2334,2020,12,14492,1396,"Raleigh/Durham, NC: Raleigh-Durham International",RDU,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222
2335,2020,12,14635,3054,"Fort Myers, FL: Southwest Florida International",RSW,Southwest Florida International,Ft. Myers,FL,USA,26.53616667,-81.75516667
