ORIGIN_AIRPORT_ID,YEAR,WEEK,CANCELLED,COUNT_FLIGHTS,WEATHER_CANCELLED,NAS_CANCELLED,SEC_CANCELLED,CARRIER_CANCELLED,Description,IATA,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
10140,2018,33,1,370,1,0,0,0,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2018,34,3,378,2,0,0,1,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2018,35,0,356,0,0,0,0,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2018,36,8,372,7,0,0,1,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2018,37,3,372,0,0,0,3,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2018,38,3,372,3,0,0,0,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2018,39,2,372,0,0,0,2,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2018,40,0,386,0,0,0,0,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2018,41,7,399,6,0,0,1,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2018,42,1,385,0,0,0,1,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2018,43,1,365,0,0,0,1,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2018,44,1,319,1,0,0,0,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2018,45,0,322,0,0,0,0,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2018,46,0,340,0,0,0,0,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2018,47,4,339,3,0,0,1,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2018,48,3,319,2,0,0,1,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2018,49,1,295,0,0,0,1,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2018,50,1,299,1,0,0,0,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2018,51,0,335,0,0,0,0,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2018,52,38,338,35,0,0,3,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2019,1,11,353,11,0,0,0,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
